File_1,File_2,TED,Myers Diff,Local Fingerprint,Labels
711724.py,779641.py,0.2962962962962963,0.9246861924686193,0.13,0
711724.py,745378.py,0.4444444444444444,0.32367149758454106,0.23,0
711724.py,744175.py,0.2777777777777778,0.28125,0.03,0
711724.py,143591.py,0.24074074074074073,0.03144654088050314,0.04,0
711724.py,772825.py,0.2962962962962963,0.6432748538011697,0.09,0
711724.py,143598.py,0.24074074074074073,0.031152647975077885,0.04,0
711724.py,143635.py,0.24074074074074073,0.03144654088050314,0.04,0
711724.py,714231.py,0.2222222222222222,0.4429530201342282,0.0,0
711724.py,703730.py,0.2962962962962963,0.6742857142857143,0.1,0
711724.py,756796.py,0.24074074074074073,0.004237288135593209,0.05,0
711724.py,743232.py,0.37037037037037035,0.30731707317073176,0.19,0
711724.py,711441.py,0.48148148148148145,0.14835164835164838,0.2,0
711724.py,783428.py,0.3888888888888889,0.3971377459749553,0.02,0
711724.py,773284.py,0.2962962962962963,0.6352941176470588,0.08,0
711724.py,143616.py,0.24074074074074073,0.03144654088050314,0.04,0
711724.py,148513.py,0.24074074074074073,0.03658536585365857,0.04,0
711724.py,773057.py,0.2962962962962963,0.3188405797101449,0.09,0
711724.py,743730.py,0.37037037037037035,0.2907268170426065,0.15,0
711724.py,706732.py,0.2962962962962963,0.7127071823204421,0.07,0
711724.py,712222.py,0.3888888888888889,0.4686940966010733,0.19,0
711724.py,793224.py,0.35185185185185186,0.33814432989690724,0.02,0
711724.py,712563.py,0.5555555555555556,0.2770780856423174,0.45,0
711724.py,687632.py,0.46296296296296297,0.004914004914004955,0.1,0
711724.py,797858.py,0.37037037037037035,0.00959232613908878,0.08,0
711724.py,779297.py,0.3333333333333333,0.3095823095823096,0.1,0
711724.py,762291.py,0.3333333333333333,0.22807017543859653,0.04,0
711724.py,148409.py,0.24074074074074073,0.03144654088050314,0.04,0
711724.py,797085.py,0.2962962962962963,0.39223300970873787,0.14,0
711724.py,773315.py,0.3148148148148148,0.6107784431137724,0.04,0
711724.py,773091.py,0.2962962962962963,0.6742857142857143,0.13,0
711724.py,683480.py,0.37037037037037035,0.009237875288683584,0.1,0
711724.py,773189.py,0.2962962962962963,0.4217687074829932,0.09,0
711724.py,684615.py,0.3148148148148148,0.00692041522491349,0.1,0
711724.py,772841.py,0.2962962962962963,0.6352941176470588,0.08,0
711724.py,712327.py,0.3888888888888889,0.664756446991404,0.25,0
711724.py,743057.py,0.3888888888888889,0.2432432432432432,0.21,0
711724.py,711852.py,0.4074074074074074,0.02564102564102566,0.09,0
711724.py,685029.py,0.42592592592592593,0.01758241758241763,0.06,0
711724.py,712163.py,0.3888888888888889,0.26960784313725494,0.24,0
711724.py,686092.py,0.46296296296296297,0.014778325123152691,0.07,0
711724.py,743771.py,0.4074074074074074,0.3444976076555024,0.18,0
711724.py,779252.py,0.35185185185185186,0.8415841584158416,0.16,0
711724.py,712527.py,0.5,0.24146981627296593,0.17,0
711724.py,143922.py,0.2962962962962963,0.23529411764705888,0.0,0
711724.py,779119.py,0.2962962962962963,0.9006928406466512,0.13,0
711724.py,744148.py,0.37037037037037035,0.2913580246913581,0.15,0
711724.py,705690.py,0.3148148148148148,0.655072463768116,0.04,0
711724.py,706169.py,0.24074074074074073,0.33551198257080606,0.03,0
711724.py,711529.py,0.3888888888888889,0.24623115577889443,0.29,0
711724.py,683366.py,0.3148148148148148,0.00497512437810943,0.04,0
711724.py,778887.py,0.4444444444444444,0.24146981627296593,0.1,0
711724.py,711560.py,0.3888888888888889,0.005952380952380931,0.13,0
711724.py,744500.py,0.3888888888888889,0.19199999999999995,0.22,0
711724.py,743200.py,0.46296296296296297,0.20596205962059622,0.21,0
711724.py,705887.py,0.37037037037037035,0.22113022113022118,0.04,0
711724.py,684835.py,0.3888888888888889,0.38475499092558985,0.05,0
711724.py,686831.py,0.2962962962962963,0.010958904109588996,0.16,0
711724.py,684661.py,0.2962962962962963,0.005540166204986097,0.14,0
711724.py,684144.py,0.42592592592592593,0.004750593824228044,0.13,0
711724.py,711360.py,0.5555555555555556,0.29000000000000004,0.48,0
711724.py,682438.py,0.42592592592592593,0.017241379310344862,0.15,0
711724.py,683652.py,0.4074074074074074,0.019960079840319334,0.1,0
711724.py,773211.py,0.2962962962962963,0.45333333333333337,0.09,0
711724.py,743639.py,0.18518518518518517,0.34573304157549234,0.1,0
711724.py,707213.py,0.3148148148148148,0.896551724137931,0.03,0
711724.py,793225.py,0.35185185185185186,0.33814432989690724,0.02,0
711724.py,743551.py,0.37037037037037035,0.3616557734204793,0.16,0
711724.py,681781.py,0.2962962962962963,0.010958904109588996,0.11,0
711724.py,766200.py,0.25925925925925924,0.9025844930417495,0.13,0
711724.py,779563.py,0.24074074074074073,0.8181818181818181,0.03,0
711724.py,685004.py,0.35185185185185186,0.00512820512820511,0.11,0
711724.py,683406.py,0.4444444444444444,0.010869565217391353,0.15,0
711724.py,787805.py,0.2777777777777778,0.0041753653444676075,0.09,0
711724.py,779320.py,0.35185185185185186,0.6963788300835654,0.11,0
711724.py,143620.py,0.24074074074074073,0.037267080745341574,0.04,0
711724.py,684802.py,0.25925925925925924,0.9409282700421941,0.1,0
711724.py,720840.py,0.24074074074074073,0.04334365325077394,0.05,0
711724.py,711873.py,0.24074074074074073,0.21674876847290636,0.1,0
711724.py,746838.py,0.2962962962962963,0.49190938511326865,0.04,0
711724.py,712051.py,0.5185185185185185,0.36442516268980474,0.33,0
711724.py,743113.py,0.4444444444444444,0.32367149758454106,0.23,0
711724.py,705538.py,0.2962962962962963,0.45333333333333337,0.09,0
711724.py,743657.py,0.4444444444444444,0.8640776699029127,0.2,0
711724.py,143586.py,0.24074074074074073,0.03529411764705881,0.04,0
711724.py,762231.py,0.24074074074074073,0.008583690987124415,0.02,0
711724.py,712356.py,0.3888888888888889,0.23589743589743595,0.26,0
711724.py,743387.py,0.2777777777777778,0.27510917030567683,0.03,0
711724.py,743172.py,0.3888888888888889,0.2767624020887729,0.21,0
